cgpa,backlogs,certifications,internship,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit,placement_score
6.87,2,5,1,6,2,3,5,0,5,CIVIL,0,Not Eligible,56.24
9.75,2,4,1,8,7,9,5,1,4,CSE,1,Tier 2,84.5
8.66,3,1,2,4,6,8,1,0,10,ISE,0,Not Eligible,64.32
7.99,2,9,1,7,3,7,6,0,3,ISE,1,Tier 2,78.48
5.78,4,6,2,7,3,2,0,0,9,MECH,0,Not Eligible,50.56
5.78,2,5,2,10,8,5,6,0,7,MECH,1,Tier 3,81.06
5.29,4,8,2,8,4,3,5,0,4,CSE,0,Not Eligible,66.08
9.33,2,9,0,2,10,0,2,1,9,CSE,0,Not Eligible,69.66
8.01,4,4,0,2,4,8,5,0,9,CIVIL,0,Not Eligible,54.019999999999996
8.54,2,8,1,8,6,3,0,1,7,MECH,0,Not Eligible,69.58
5.1,2,8,2,6,0,10,1,1,5,ISE,0,Not Eligible,69.2
9.85,1,0,2,3,2,4,7,0,9,AI&DS,0,Not Eligible,68.2
9.16,4,4,1,0,1,2,7,0,7,CIVIL,0,Not Eligible,46.82
6.06,4,8,2,6,10,3,0,1,9,CIVIL,0,Not Eligible,68.62
5.91,4,6,1,9,9,8,6,0,3,ECE,0,Not Eligible,74.82
5.92,0,5,2,5,5,6,6,0,9,AI&DS,1,Tier 3,81.84
6.52,2,5,0,2,10,7,2,1,1,ISE,0,Not Eligible,58.53999999999999
7.62,4,6,1,4,5,2,1,0,5,CIVIL,0,Not Eligible,45.74
7.16,0,0,1,2,9,2,7,1,2,AI&DS,0,Not Eligible,62.82
6.46,1,3,0,7,0,6,0,1,1,ECE,0,Not Eligible,43.42
8.06,4,0,1,4,5,7,2,0,3,AI&DS,0,Not Eligible,45.120000000000005
5.7,4,5,0,9,9,4,2,0,7,MECH,0,Not Eligible,55.400000000000006
6.46,0,3,2,9,1,0,4,1,3,ISE,0,Not Eligible,62.92
6.83,2,0,0,5,10,2,5,1,10,MECH,0,Not Eligible,58.16
7.28,1,8,0,1,3,4,6,0,10,ECE,0,Not Eligible,65.56
8.93,4,3,1,7,5,2,1,1,9,ISE,0,Not Eligible,56.86
6.0,2,5,2,8,2,0,1,1,3,CSE,0,Not Eligible,54.0
7.57,1,6,0,2,2,6,5,0,6,CSE,0,Not Eligible,60.14
7.96,3,7,2,5,2,0,6,0,2,CSE,0,Not Eligible,60.42
5.23,3,8,0,5,3,9,6,1,8,AI&DS,0,Not Eligible,70.96000000000001
8.04,1,8,1,1,8,5,0,0,10,CIVIL,0,Not Eligible,67.08
5.85,0,7,0,9,3,5,4,1,5,AI&DS,0,Not Eligible,72.2
5.33,1,9,0,7,3,6,1,1,2,AI&DS,0,Not Eligible,61.66
9.74,1,2,2,4,3,10,2,0,7,AI&DS,0,Not Eligible,71.98
9.83,0,1,0,10,6,0,1,1,3,AI&DS,0,Not Eligible,58.66
9.04,0,4,1,10,4,10,4,1,5,CSE,1,Tier 1,88.08
6.52,2,0,1,7,1,2,5,1,9,CIVIL,0,Not Eligible,51.04
5.49,2,2,0,7,6,8,3,0,1,CIVIL,0,Not Eligible,49.480000000000004
8.42,0,0,0,2,2,1,5,0,2,ECE,0,Not Eligible,40.34
7.2,3,2,2,4,10,4,2,1,5,CSE,0,Not Eligible,63.400000000000006
5.61,3,3,2,6,0,2,1,1,4,ISE,0,Not Eligible,44.22
7.48,1,6,1,4,8,4,5,1,1,AI&DS,0,Not Eligible,71.96000000000001
5.17,4,4,2,5,4,6,2,0,7,CIVIL,0,Not Eligible,51.84
9.55,1,4,0,1,9,0,7,1,9,ECE,0,Not Eligible,69.1
6.29,1,0,1,7,0,2,6,0,1,CIVIL,0,Not Eligible,43.08
8.31,4,7,2,4,10,10,0,1,8,ISE,1,Tier 2,80.62
6.56,0,3,1,5,0,5,7,1,9,ISE,0,Not Eligible,70.12
7.6,3,9,0,0,0,6,7,0,2,CSE,0,Not Eligible,54.2
7.73,1,4,2,9,8,9,2,0,1,CIVIL,1,Tier 2,76.46000000000001
5.92,4,1,0,1,7,2,1,0,6,ISE,0,Not Eligible,29.840000000000003
9.85,2,0,0,10,10,3,0,1,7,MECH,0,Not Eligible,60.2
8.88,1,8,1,3,5,5,0,1,2,ISE,0,Not Eligible,65.26
9.7,3,1,1,10,9,4,7,0,5,ISE,1,Tier 2,75.9
9.47,0,5,1,8,5,10,0,0,5,CIVIL,1,Tier 2,75.44
7.99,1,0,2,5,5,8,3,1,7,AI&DS,0,Not Eligible,70.98
9.61,1,0,2,7,3,0,3,1,1,ISE,0,Not Eligible,56.22
5.44,4,8,1,1,4,4,0,0,10,ECE,0,Not Eligible,47.38
5.98,2,3,2,9,9,10,7,1,8,AI&DS,1,Tier 3,93.96000000000001
5.23,2,8,2,4,2,0,5,0,5,ISE,0,Not Eligible,59.46000000000001
6.63,0,4,1,0,2,7,7,1,3,MECH,0,Not Eligible,61.76
6.94,3,6,0,3,9,6,5,0,9,ISE,0,Not Eligible,67.88
6.36,0,0,2,9,6,4,5,1,3,CSE,0,Not Eligible,72.22
9.14,1,5,2,0,4,5,1,1,7,CIVIL,0,Not Eligible,62.78
6.78,1,7,0,10,7,3,0,1,10,MECH,0,Not Eligible,69.56
6.4,2,0,0,10,4,8,5,0,7,ECE,0,Not Eligible,60.8
7.71,3,8,0,8,3,2,0,0,10,ISE,0,Not Eligible,56.92
5.7,4,2,1,1,2,1,2,0,8,ISE,0,Not Eligible,31.4
9.01,3,0,0,6,1,6,5,1,10,ECE,0,Not Eligible,55.519999999999996
5.37,1,0,1,2,2,1,7,1,8,ISE,0,Not Eligible,50.24
9.93,4,5,0,1,6,5,2,0,4,CSE,0,Not Eligible,48.86
8.86,3,5,0,3,7,10,2,1,1,AI&DS,0,Not Eligible,61.72
5.99,3,0,1,6,4,7,5,0,4,AI&DS,0,Not Eligible,52.480000000000004
5.03,4,2,1,6,10,2,4,1,6,MECH,0,Not Eligible,53.06
9.08,1,6,0,8,0,2,2,1,10,ISE,0,Not Eligible,64.16
8.53,3,9,0,2,2,2,5,1,6,ECE,0,Not Eligible,58.06
8.65,4,2,0,6,3,0,6,0,6,ECE,0,Not Eligible,44.8
8.86,1,2,2,5,9,8,2,0,7,MECH,0,Not Eligible,74.72
5.37,4,2,0,9,3,4,1,0,1,CSE,0,Not Eligible,34.74
6.79,4,6,1,6,0,8,3,1,10,MECH,0,Not Eligible,60.58
5.58,3,3,2,6,9,4,3,1,1,ISE,0,Not Eligible,61.66
9.32,1,3,1,9,8,6,3,1,7,AI&DS,1,Tier 2,82.14
8.12,3,2,2,4,9,0,6,1,4,CSE,0,Not Eligible,64.74
6.65,0,9,2,8,3,8,4,0,6,CSE,1,Tier 2,88.8
5.32,0,8,1,6,1,0,0,0,6,ECE,0,Not Eligible,52.14
6.55,1,1,2,6,8,3,2,1,9,CSE,0,Not Eligible,68.6
6.63,4,3,1,2,3,6,6,0,2,ISE,0,Not Eligible,47.76
8.65,3,7,0,0,3,10,1,1,4,ISE,0,Not Eligible,55.8
8.19,3,5,2,4,10,8,4,1,4,ISE,1,Tier 2,80.38
9.44,1,6,1,7,5,0,6,0,7,AI&DS,0,Not Eligible,74.88
7.36,1,6,2,4,7,10,3,0,1,CIVIL,0,Not Eligible,74.22
5.6,0,1,1,9,4,5,4,0,5,CSE,0,Not Eligible,63.2
8.57,2,3,0,2,7,10,6,1,4,CSE,0,Not Eligible,69.64
8.8,1,9,0,8,0,9,1,1,2,ISE,0,Not Eligible,70.1
7.81,2,9,2,1,3,10,5,1,5,ECE,1,Tier 2,80.62
8.85,1,5,2,2,0,4,4,0,9,AI&DS,0,Not Eligible,65.7
7.47,4,2,1,3,2,2,3,0,8,CSE,0,Not Eligible,41.44
7.61,4,8,1,9,10,9,0,0,9,CIVIL,1,Tier 2,77.22
7.14,0,3,2,0,6,1,6,0,7,CSE,0,Not Eligible,64.78
5.13,0,9,1,10,0,0,3,0,10,MECH,0,Not Eligible,66.25999999999999
5.54,2,1,1,3,4,1,6,0,7,CIVIL,0,Not Eligible,45.08
5.16,1,5,1,3,0,3,3,0,2,ECE,0,Not Eligible,43.32
8.18,3,0,2,8,5,5,3,1,3,CIVIL,0,Not Eligible,58.36
6.57,0,5,0,7,8,4,6,0,10,CIVIL,1,Tier 2,75.64
7.54,3,9,0,1,2,3,4,0,8,CSE,0,Not Eligible,54.08
9.54,3,0,1,6,10,7,1,1,2,CIVIL,0,Not Eligible,58.58
6.25,1,7,2,5,10,6,3,1,7,ISE,1,Tier 2,86.0
7.05,2,4,1,6,5,3,7,0,6,AI&DS,0,Not Eligible,67.1
8.78,1,5,0,10,3,9,5,1,10,CIVIL,1,Tier 2,82.56
6.14,0,1,1,3,5,4,4,0,4,CSE,0,Not Eligible,54.28
5.38,3,1,0,4,1,9,1,0,4,ISE,0,Not Eligible,35.76
6.45,1,8,2,5,3,4,0,0,3,ECE,0,Not Eligible,60.9
5.81,1,2,1,8,6,2,7,1,6,MECH,0,Not Eligible,66.62
9.65,1,5,2,1,10,8,3,1,3,CIVIL,1,Tier 2,78.8
9.04,0,9,1,10,5,10,2,0,9,ISE,1,Tier 1,95.0
8.17,2,4,1,8,8,4,4,1,4,ISE,0,Not Eligible,73.34
9.36,1,3,1,9,10,9,5,0,4,ECE,1,Tier 1,86.72
9.02,0,9,1,0,6,1,0,0,2,ECE,0,Not Eligible,57.54
5.93,3,1,1,3,0,3,0,1,2,MECH,0,Not Eligible,25.86
9.46,4,7,2,4,5,3,0,1,7,MECH,0,Not Eligible,60.92
7.7,0,9,2,8,10,4,4,1,5,CSE,1,Tier 2,95.0
9.04,4,6,0,5,2,7,1,0,3,MECH,0,Not Eligible,46.08
9.48,1,1,1,3,7,4,2,1,6,MECH,0,Not Eligible,58.96
6.59,1,5,0,1,0,0,7,1,6,ISE,0,Not Eligible,49.68
5.55,0,7,2,4,9,1,5,1,1,CIVIL,0,Not Eligible,72.1
6.14,4,6,0,7,1,2,1,0,3,CIVIL,0,Not Eligible,34.28
7.14,1,0,2,7,2,2,3,0,5,AI&DS,0,Not Eligible,53.78
9.09,3,4,1,5,2,9,2,0,7,MECH,0,Not Eligible,59.18000000000001
9.3,2,1,0,10,6,5,1,0,4,AI&DS,0,Not Eligible,57.1
5.03,2,5,0,0,7,8,3,0,8,AI&DS,0,Not Eligible,55.56
7.55,1,6,0,7,8,9,6,1,3,CSE,1,Tier 2,83.1
7.09,4,6,0,3,6,0,2,1,6,CSE,0,Not Eligible,45.68
6.11,1,2,1,1,7,5,4,0,6,CIVIL,0,Not Eligible,53.72
5.6,4,6,2,0,10,8,5,1,9,ECE,0,Not Eligible,74.2
6.69,3,4,2,6,5,3,6,0,4,ISE,0,Not Eligible,64.38
9.71,4,7,1,1,1,9,5,0,7,MECH,0,Not Eligible,61.92
6.62,1,7,2,3,0,2,3,0,10,ISE,0,Not Eligible,62.74000000000001
7.59,3,6,0,3,2,5,1,0,1,MECH,0,Not Eligible,38.18
8.52,0,5,1,9,8,5,2,0,1,MECH,0,Not Eligible,72.03999999999999
6.82,2,1,2,0,6,1,3,0,2,AI&DS,0,Not Eligible,43.14
9.86,1,5,1,1,1,4,3,1,4,CIVIL,0,Not Eligible,55.72
9.81,1,8,1,0,0,0,4,1,6,ISE,0,Not Eligible,59.620000000000005
6.26,1,1,2,5,1,8,3,1,4,ISE,0,Not Eligible,60.519999999999996
7.49,3,0,2,2,2,8,2,1,6,ECE,0,Not Eligible,50.980000000000004
6.5,0,4,1,0,5,2,0,1,2,ECE,0,Not Eligible,45.5
6.42,4,5,1,7,8,4,2,1,9,ISE,0,Not Eligible,65.34
5.18,0,2,2,3,7,2,2,0,3,ECE,0,Not Eligible,53.36
8.05,3,7,1,9,9,6,4,0,7,ECE,1,Tier 2,81.1
7.51,1,6,2,6,8,0,4,0,1,MECH,0,Not Eligible,66.02
5.26,2,1,1,9,10,4,5,0,8,CIVIL,0,Not Eligible,66.02
6.39,1,6,1,1,10,5,6,1,4,MECH,0,Not Eligible,71.78
9.54,4,0,1,5,7,10,5,0,5,AI&DS,0,Not Eligible,65.08
6.2,2,8,2,5,6,6,3,1,7,ECE,1,Tier 2,77.9
5.72,1,6,0,6,5,2,7,1,3,MECH,0,Not Eligible,61.94
7.45,2,5,2,0,7,6,5,1,9,MECH,0,Not Eligible,72.4
9.93,0,1,1,0,5,3,4,1,9,CSE,0,Not Eligible,63.86
6.21,3,2,0,1,1,9,3,1,8,MECH,0,Not Eligible,42.92
8.36,1,0,0,10,8,10,0,1,1,MECH,0,Not Eligible,61.72
8.81,4,9,1,1,8,5,1,0,2,CIVIL,0,Not Eligible,55.620000000000005
6.19,0,4,2,4,2,4,4,0,2,ISE,0,Not Eligible,60.38
8.64,1,8,0,0,8,3,6,0,3,CSE,0,Not Eligible,66.78
6.84,0,5,0,10,1,5,7,0,2,CSE,0,Not Eligible,68.68
8.16,4,4,2,1,2,2,4,0,1,CSE,0,Not Eligible,43.82
8.17,1,2,2,5,5,2,0,0,5,AI&DS,0,Not Eligible,55.34
7.68,4,4,0,2,3,4,6,0,6,CSE,0,Not Eligible,47.86
5.45,2,7,2,3,7,10,4,1,7,CIVIL,1,Tier 3,78.9
9.18,4,1,0,0,0,4,5,1,10,ISE,0,Not Eligible,42.36
6.6,2,4,1,4,5,8,5,0,7,AI&DS,0,Not Eligible,67.7
5.93,1,5,2,3,1,3,5,0,2,CIVIL,0,Not Eligible,53.36
5.2,2,9,0,7,5,4,7,1,7,CSE,1,Tier 3,75.4
7.95,1,7,2,2,0,8,0,0,2,ISE,0,Not Eligible,58.9
8.39,1,7,2,9,1,3,3,1,2,CIVIL,0,Not Eligible,70.28
5.08,3,4,0,0,8,2,7,0,6,ISE,0,Not Eligible,49.16
7.56,1,8,1,9,5,6,4,1,6,AI&DS,1,Tier 2,85.12
6.13,2,3,0,4,7,6,4,1,8,CIVIL,0,Not Eligible,58.75999999999999
8.23,3,8,2,0,6,7,5,0,5,ISE,0,Not Eligible,72.96000000000001
5.87,3,6,0,10,8,3,3,0,5,CIVIL,0,Not Eligible,59.24000000000001
8.45,1,5,2,4,8,3,7,1,10,CSE,1,Tier 1,88.4
6.93,4,3,0,8,10,8,4,0,1,CSE,0,Not Eligible,60.86
9.68,4,1,1,4,3,9,7,0,4,CSE,0,Not Eligible,61.36
5.69,3,7,1,1,6,6,2,1,1,AI&DS,0,Not Eligible,53.88
6.71,1,5,1,1,4,2,0,1,10,CIVIL,0,Not Eligible,50.92
5.57,4,2,1,9,6,8,1,0,5,ISE,0,Not Eligible,54.64
9.62,1,6,0,8,3,4,2,0,8,ISE,0,Not Eligible,67.74
9.39,1,9,1,4,9,3,6,1,1,ECE,1,Tier 2,82.78
