Question,Option A,Option B,Option C,Option D,Answer
What is the most important aspect of active listening?,Maintaining eye contact,Asking questions,Paraphrasing what was said,All of the above,D
Which of these is NOT a type of non-verbal communication?,Tone of voice,Hand gestures,Email formatting,Body posture,C
"What does ""KISS"" stand for in communication principles?",Keep It Short and Simple,Keep It Straightforward and Smart,Keep It Simple and Smart,Keep It Short and Sweet,D
Which communication style is most effective in resolving conflicts?,Aggressive,Passive,Assertive,Passive-aggressive,C
What percentage of communication is estimated to be non-verbal according to Mehrabian's study?,7%,38%,55%,93%,C
Which of these is a barrier to effective communication?,Clarity,Jargon,Active listening,Empathy,B
"What is the purpose of a ""TL;DR"" in written communication?",To lengthen the message,To summarize key points,To add formal tone,To criticize the reader,B
Which phrase demonstrates empathetic communication?,You're wrong,I understand how you feel,That's not my problem,Just deal with it,B
What is the ideal sentence length for clear business communication?,5-10 words,15-20 words,25-30 words,35-40 words,B
Which of these is NOT a component of the 7 C's of communication?,Conciseness,Clarity,Criticism,Correctness,C
"What does ""ROI"" stand for in business communication?",Return on Investment,Rate of Interest,Report of Inquiry,Review of Information,A
Which communication channel is best for sensitive feedback?,Public social media post,Group email,Face-to-face meeting,Mass text message,C
What is the primary purpose of a communication protocol?,To create confusion,To standardize information exchange,To slow down processes,To limit accessibility,B
Which of these demonstrates active listening?,Planning your response while the other person speaks,Nodding and saying 'I see',Checking your phone during conversation,Interrupting to share your opinion,B
What is the recommended pause length between conversational turns in Western cultures?,0.5 seconds,1-2 seconds,4-5 seconds,7-8 seconds,B
Which communication method is most effective for complex instructions?,Verbal only,Written only,Visual only,Combination of verbal/written/visual,D
"What does ""ASAP"" stand for in business communication?",As Soon As Possible,As Simple As Possible,Always State Actual Plans,All Systems Are Prepared,A
"What is the purpose of the ""subject line"" in emails?",To decorate the message,To summarize the content,To hide the main point,To increase word count,B
Which of these is NOT a common communication filter?,Language,Culture,Gender,Wall color,D
What is the recommended maximum number of bullet points in a business slide?,3-5,7-9,10-12,15-20,A
Which communication style avoids expressing needs or opinions?,Aggressive,Passive,Assertive,Manipulative,B
"What percentage of professionals consider ""poor communication"" the biggest workplace issue?",10%,25%,50%,75%,C
Which of these is a characteristic of effective feedback?,Vague,Personal attacks,Specific and actionable,Delayed by weeks,C
"What is the ""pyramid principle"" in communication?",Starting with details first,Building arguments from the base,Leading with key conclusions,Using triangular formatting,C
Which of these is NOT a benefit of mirroring body language?,Building rapport,Increasing distrust,Enhancing understanding,Creating comfort,B
What is the ideal speaking rate for presentations?,50-75 words per minute,100-125 words per minute,150-175 words per minute,200+ words per minute,B
Which communication tool is best for quick team updates?,Formal report,Printed memo,Instant messaging,Company-wide meeting,C
"What does ""BRB"" mean in digital communication?",Be Right Back,Business Reply Back,Brief Response Break,Boring Regular Business,A
Which of these is a closed-ended question?,How did that make you feel?,What time is the meeting?,Why do you think that happened?,Can you describe the problem?,B
What is the primary purpose of a communication audit?,To identify strengths/weaknesses,To reduce employee salaries,To eliminate all meetings,To increase paperwork,A
Which of these demonstrates cultural communication competence?,Assuming all cultures communicate similarly,Learning cultural norms of your audience,Speaking louder to non-native speakers,Using slang extensively,B
What is the recommended response time for professional emails?,Within 1 hour,Within 24 hours,Within 3 days,Within 1 week,B
Which communication method is most persuasive?,Facts only,Emotions only,Stories only,Combination of facts/emotions/stories,D
"What does ""FYI"" stand for in business communication?",For Your Information,For Your Interest,For Your Improvement,For Your Inspection,A
Which of these is a characteristic of passive-aggressive communication?,Direct expression of needs,Sarcasm or backhanded compliments,Clear boundaries,Honest feedback,B
"What is the ""30/70 rule"" in communication?",30% speaking/70% listening,30% writing/70% reading,30% formal/70% informal,30% verbal/70% non-verbal,A
Which of these is NOT a common presentation mistake?,Reading slides verbatim,Maintaining eye contact,Too much text on slides,No clear structure,B
"What is the purpose of the ""elevator pitch""?",To describe a concept briefly,To criticize competitors,To list all achievements,To use technical jargon,A
Which communication channel has the highest information richness?,Bulletin board,Email,Video call,Memo,C
"What does ""NSFW"" mean in digital communication?",Not Safe For Work,New Staff For Welcome,No Subject For Writing,Next Step Forward Action,A
Which of these improves virtual meeting effectiveness?,Turning cameras off,Multitasking during calls,Using chat for Q&A,Eating during meetings,C
What is the primary goal of business storytelling?,To entertain colleagues,To make meetings longer,To connect data with human impact,To showcase vocabulary,C
Which of these is a key negotiation communication skill?,Threats,Active listening,Interruptions,Ultimatums,B
What percentage of meaning comes from tone of voice in phone communication?,7%,38%,55%,80%,B
